Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
1 Jan,4460.81,4089.07,3345.60,2602.14,1858.67
4 Jan,4563.10,4182.84,3422.32,2661.81,1901.29
5 Jan,4588.17,4205.82,3441.13,2676.43,1911.74
6 Jan,4524.95,4147.87,3393.71,2639.55,1885.40
7 Jan,4525.95,4148.78,3394.46,2640.13,1885.81
8 Jan,4362.52,3998.98,3271.89,2544.81,1817.72
11 Jan,4366.48,4002.61,3274.86,2547.12,1819.37
12 Jan,4367.58,4003.62,3275.69,2547.76,1819.83
13 Jan,4347.82,3985.50,3260.86,2536.23,1811.59
14 Jan,4340.80,3979.07,3255.60,2532.13,1808.67
15 Jan,4298.93,3940.69,3224.20,2507.71,1791.22
18 Jan,4323.34,3963.06,3242.50,2521.95,1801.39
19 Jan,4332.35,3971.32,3249.27,2527.21,1805.15
20 Jan,4383.47,4018.18,3287.60,2557.02,1826.45
21 Jan,4385.50,4020.04,3289.12,2558.21,1827.29
22 Jan,4356.13,3993.12,3267.10,2541.08,1815.05
25 Jan,4353.20,3990.44,3264.90,2539.37,1813.83
26 Jan,4340.79,3979.05,3255.59,2532.13,1808.66
27 Jan,4320.23,3960.21,3240.17,2520.13,1800.09
28 Jan,4324.24,3963.89,3243.18,2522.47,1801.77
29 Jan,4322.62,3962.40,3241.96,2521.53,1801.09
1 Feb,4367.64,4003.67,3275.73,2547.79,1819.85
2 Feb,4305.91,3947.08,3229.43,2511.78,1794.13
3 Feb,4296.86,3938.78,3222.64,2506.50,1790.36
4 Feb,4213.35,3862.24,3160.01,2457.79,1755.56
5 Feb,4241.86,3888.38,3181.40,2474.42,1767.44
8 Feb,4292.31,3934.62,3219.23,2503.85,1788.46
9 Feb,4301.08,3942.65,3225.81,2508.96,1792.12
10 Feb,4312.00,3952.67,3234.00,2515.33,1796.67
11 Feb,4270.51,3914.63,3202.88,2491.13,1779.38
12 Feb,4258.76,3903.86,3194.07,2484.27,1774.48
15 Feb,4247.46,3893.50,3185.59,2477.68,1769.77
16 Feb,4194.13,3844.62,3145.60,2446.57,1747.55
17 Feb,4161.83,3815.01,3121.37,2427.74,1734.10
18 Feb,4139.52,3794.56,3104.64,2414.72,1724.80
19 Feb,4160.19,3813.50,3120.14,2426.78,1733.41
22 Feb,4217.96,3866.46,3163.47,2460.48,1757.48
23 Feb,4202.79,3852.56,3152.09,2451.63,1751.16
24 Feb,4196.85,3847.11,3147.64,2448.16,1748.69
25 Feb,4164.44,3817.41,3123.33,2429.26,1735.19
26 Feb,4104.77,3762.71,3078.58,2394.45,1710.32
1 Mar,4064.83,3726.10,3048.62,2371.15,1693.68
2 Mar,4091.69,3750.71,3068.76,2386.82,1704.87
3 Mar,4013.87,3679.38,3010.40,2341.42,1672.44
4 Mar,3984.18,3652.16,2988.13,2324.10,1660.07
5 Mar,4002.26,3668.74,3001.70,2334.65,1667.61
8 Mar,3972.15,3641.14,2979.11,2317.09,1655.06
9 Mar,4014.71,3680.15,3011.04,2341.92,1672.80
10 Mar,4036.46,3700.09,3027.35,2354.60,1681.86
11 Mar,4023.40,3688.12,3017.55,2346.98,1676.42
12 Mar,4036.25,3699.90,3027.19,2354.48,1681.77
15 Mar,4034.51,3698.30,3025.89,2353.47,1681.05
16 Mar,4036.86,3700.45,3027.64,2354.83,1682.02
17 Mar,4079.86,3739.87,3059.89,2379.92,1699.94
18 Mar,4055.26,3717.33,3041.45,2365.57,1689.69
19 Mar,4064.95,3726.21,3048.71,2371.22,1693.73
22 Mar,4048.11,3710.77,3036.08,2361.40,1686.71
23 Mar,4032.26,3696.24,3024.20,2352.15,1680.11
24 Mar,4051.46,3713.84,3038.59,2363.35,1688.11
25 Mar,4033.18,3697.08,3024.88,2352.69,1680.49
26 Mar,4035.72,3699.41,3026.79,2354.17,1681.55
29 Mar,4003.94,3670.28,3002.96,2335.63,1668.31
30 Mar,3980.13,3648.45,2985.10,2321.74,1658.39
31 Mar,4018.66,3683.77,3014.00,2344.22,1674.44
1 Apr,4077.40,3737.62,3058.05,2378.48,1698.92
2 Apr,4082.61,3742.39,3061.96,2381.52,1701.09
5 Apr,4074.51,3734.97,3055.88,2376.80,1697.71
6 Apr,4118.84,3775.60,3089.13,2402.65,1716.18
7 Apr,4154.97,3808.73,3116.23,2423.73,1731.24
8 Apr,4204.52,3854.14,3153.39,2452.64,1751.88
9 Apr,4189.89,3840.73,3142.42,2444.10,1745.79
12 Apr,4176.22,3828.20,3132.16,2436.13,1740.09
13 Apr,4221.86,3870.03,3166.39,2462.75,1759.11
14 Apr,4189.08,3839.99,3141.81,2443.63,1745.45
15 Apr,4237.89,3884.73,3178.42,2472.10,1765.79
16 Apr,4260.66,3905.60,3195.49,2485.38,1775.27
19 Apr,4266.24,3910.72,3199.68,2488.64,1777.60
20 Apr,4309.83,3950.68,3232.37,2514.07,1795.76
21 Apr,4350.55,3988.00,3262.91,2537.82,1812.73
22 Apr,4305.16,3946.39,3228.87,2511.34,1793.82
23 Apr,4277.61,3921.14,3208.21,2495.27,1782.34
26 Apr,4282.30,3925.44,3211.72,2498.01,1784.29
27 Apr,4257.00,3902.25,3192.75,2483.25,1773.75
28 Apr,4262.26,3907.07,3196.70,2486.32,1775.94
29 Apr,4225.18,3873.08,3168.88,2464.69,1760.49
30 Apr,4213.92,3862.76,3160.44,2458.12,1755.80
3 May,4255.72,3901.08,3191.79,2482.50,1773.22
4 May,4218.94,3867.36,3164.21,2461.05,1757.89
5 May,4236.19,3883.17,3177.14,2471.11,1765.08
6 May,4295.37,3937.42,3221.53,2505.63,1789.74
7 May,4315.48,3955.85,3236.61,2517.36,1798.12
10 May,4338.28,3976.76,3253.71,2530.67,1807.62
11 May,4330.34,3969.48,3247.76,2526.03,1804.31
12 May,4305.92,3947.10,3229.44,2511.79,1794.13
13 May,4310.28,3951.09,3232.71,2514.33,1795.95
14 May,4344.17,3982.15,3258.13,2534.10,1810.07
17 May,4402.94,4036.03,3302.21,2568.38,1834.56
18 May,4397.17,4030.74,3297.88,2565.01,1832.15
19 May,4392.01,4026.01,3294.01,2562.01,1830.01
20 May,4399.74,4033.10,3299.81,2566.52,1833.23
21 May,4411.83,4044.18,3308.88,2573.57,1838.26
24 May,4396.67,4030.28,3297.50,2564.72,1831.94
25 May,4443.39,4073.11,3332.55,2591.98,1851.41
26 May,4429.91,4060.75,3322.43,2584.11,1845.80
27 May,4435.31,4065.70,3326.48,2587.27,1848.05
28 May,4432.29,4062.93,3324.22,2585.50,1846.79
31 May,4447.05,4076.46,3335.28,2594.11,1852.94
1 Jun,4447.95,4077.29,3335.96,2594.64,1853.31
2 Jun,4475.41,4102.46,3356.56,2610.66,1864.75
3 Jun,4394.19,4028.01,3295.64,2563.28,1830.91
4 Jun,4433.26,4063.82,3324.94,2586.07,1847.19
7 Jun,4445.29,4074.85,3333.97,2593.09,1852.21
8 Jun,4442.51,4072.30,3331.88,2591.47,1851.05
9 Jun,4432.07,4062.73,3324.06,2585.38,1846.70
10 Jun,4456.33,4084.97,3342.24,2599.52,1856.80
11 Jun,4418.99,4050.74,3314.24,2577.74,1841.25
14 Jun,4392.05,4026.04,3294.03,2562.03,1830.02
15 Jun,4381.25,4016.15,3285.94,2555.73,1825.52
16 Jun,4317.11,3957.35,3237.83,2518.31,1798.79
17 Jun,4241.58,3888.12,3181.19,2474.26,1767.33
18 Jun,4206.03,3855.53,3154.52,2453.52,1752.51
21 Jun,4250.91,3896.67,3188.18,2479.70,1771.21
22 Jun,4249.39,3895.27,3187.04,2478.81,1770.58
23 Jun,4242.93,3889.35,3182.20,2475.04,1767.89
24 Jun,4234.77,3881.87,3176.08,2470.28,1764.49
25 Jun,4248.50,3894.46,3186.37,2478.29,1770.21
28 Jun,4246.97,3893.05,3185.22,2477.40,1769.57
29 Jun,4206.21,3855.69,3154.66,2453.62,1752.59
30 Jun,4228.09,3875.75,3171.07,2466.39,1761.70
1 Jul,4256.60,3901.88,3192.45,2483.01,1773.58
2 Jul,4280.49,3923.79,3210.37,2496.95,1783.54
5 Jul,4280.46,3923.75,3210.34,2496.93,1783.52
6 Jul,4315.37,3955.75,3236.52,2517.30,1798.07
7 Jul,4338.43,3976.89,3253.82,2530.75,1807.68
8 Jul,4333.35,3972.24,3250.01,2527.79,1805.56
9 Jul,4331.32,3970.38,3248.49,2526.60,1804.72
12 Jul,4331.20,3970.27,3248.40,2526.54,1804.67
13 Jul,4335.27,3974.00,3251.45,2528.91,1806.36
14 Jul,4373.13,4008.70,3279.85,2550.99,1822.14
15 Jul,4384.70,4019.31,3288.53,2557.74,1826.96
16 Jul,4348.72,3986.33,3261.54,2536.75,1811.97
19 Jul,4367.45,4003.50,3275.59,2547.68,1819.77
20 Jul,4336.49,3975.12,3252.37,2529.62,1806.87
21 Jul,4314.72,3955.16,3236.04,2516.92,1797.80
22 Jul,4326.17,3965.65,3244.63,2523.60,1802.57
23 Jul,4313.96,3954.46,3235.47,2516.47,1797.48
26 Jul,4293.86,3936.04,3220.40,2504.75,1789.11
27 Jul,4311.69,3952.38,3233.76,2515.15,1796.54
28 Jul,4327.77,3967.13,3245.83,2524.53,1803.24
29 Jul,4369.16,4005.06,3276.87,2548.68,1820.48
30 Jul,4336.99,3975.58,3252.75,2529.91,1807.08
2 Aug,4331.94,3970.94,3248.95,2526.96,1804.97
3 Aug,4321.60,3961.47,3241.20,2520.93,1800.67
4 Aug,4321.51,3961.38,3241.13,2520.88,1800.63
5 Aug,4295.13,3937.20,3221.35,2505.49,1789.64
6 Aug,4209.83,3859.01,3157.38,2455.74,1754.10
9 Aug,4145.60,3800.13,3109.20,2418.27,1727.33
10 Aug,4134.07,3789.57,3100.55,2411.54,1722.53
11 Aug,4174.80,3826.90,3131.10,2435.30,1739.50
12 Aug,4186.68,3837.79,3140.01,2442.23,1744.45
13 Aug,4245.73,3891.91,3184.29,2476.67,1769.05
16 Aug,4261.09,3906.00,3195.81,2485.63,1775.45
17 Aug,4270.65,3914.76,3202.98,2491.21,1779.44
18 Aug,4268.40,3912.70,3201.30,2489.90,1778.50
19 Aug,4257.15,3902.39,3192.86,2483.34,1773.81
20 Aug,4256.38,3901.68,3192.29,2482.89,1773.49
23 Aug,4300.30,3941.94,3225.23,2508.51,1791.79
24 Aug,4295.53,3937.57,3221.64,2505.72,1789.80
25 Aug,4268.62,3912.90,3201.47,2490.03,1778.59
26 Aug,4276.35,3919.99,3207.26,2494.54,1781.81
27 Aug,4295.71,3937.73,3221.78,2505.83,1789.88
30 Aug,4273.29,3917.18,3204.97,2492.75,1780.54
31 Aug,4258.59,3903.71,3193.94,2484.18,1774.41
1 Sep,4254.94,3900.36,3191.21,2482.05,1772.89
2 Sep,4250.16,3895.98,3187.62,2479.26,1770.90
3 Sep,4288.75,3931.35,3216.56,2501.77,1786.98
6 Sep,4286.68,3929.46,3215.01,2500.57,1786.12
7 Sep,4237.16,3884.06,3177.87,2471.67,1765.48
8 Sep,4249.79,3895.64,3187.34,2479.05,1770.75
9 Sep,4243.08,3889.49,3182.31,2475.13,1767.95
10 Sep,4226.13,3873.96,3169.60,2465.25,1760.89
13 Sep,4239.65,3886.35,3179.74,2473.13,1766.52
14 Sep,4270.83,3914.93,3203.12,2491.32,1779.51
15 Sep,4240.96,3887.54,3180.72,2473.89,1767.07
16 Sep,4148.34,3802.65,3111.26,2419.87,1728.48
17 Sep,4156.45,3810.08,3117.34,2424.60,1731.86
20 Sep,4180.26,3831.91,3135.20,2438.49,1741.78
21 Sep,4211.51,3860.55,3158.63,2456.71,1754.80
22 Sep,4197.00,3847.25,3147.75,2448.25,1748.75
23 Sep,4144.51,3799.13,3108.38,2417.63,1726.88
