Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
1 Jan,3477.18,3187.41,2607.88,2028.35,1448.82
2 Jan,3507.37,3215.08,2630.52,2045.96,1461.40
3 Jan,3581.27,3282.84,2685.96,2089.08,1492.20
6 Jan,3609.82,3309.01,2707.37,2105.73,1504.09
7 Jan,3691.03,3383.45,2768.28,2153.10,1537.93
8 Jan,3578.58,3280.37,2683.94,2087.51,1491.08
9 Jan,3554.17,3257.99,2665.63,2073.27,1480.91
10 Jan,3565.24,3268.14,2673.93,2079.72,1485.52
13 Jan,3514.03,3221.19,2635.52,2049.85,1464.18
14 Jan,3530.03,3235.86,2647.53,2059.19,1470.85
15 Jan,3538.93,3244.02,2654.20,2064.37,1474.55
16 Jan,3541.17,3246.07,2655.88,2065.68,1475.49
17 Jan,3557.07,3260.64,2667.80,2074.96,1482.11
20 Jan,3565.93,3268.77,2674.44,2080.12,1485.80
21 Jan,3565.03,3267.94,2673.77,2079.60,1485.43
22 Jan,3569.83,3272.34,2677.37,2082.40,1487.43
23 Jan,3580.08,3281.74,2685.06,2088.38,1491.70
24 Jan,3603.86,3303.54,2702.90,2102.25,1501.61
27 Jan,3632.20,3329.52,2724.15,2118.79,1513.42
28 Jan,3592.75,3293.35,2694.56,2095.77,1496.98
29 Jan,3615.97,3314.64,2711.98,2109.32,1506.66
30 Jan,3624.59,3322.54,2718.44,2114.35,1510.25
31 Jan,3653.62,3349.15,2740.21,2131.28,1522.34
3 Feb,3620.76,3319.03,2715.57,2112.11,1508.65
4 Feb,3552.95,3256.87,2664.71,2072.56,1480.40
5 Feb,3561.63,3264.83,2671.22,2077.62,1484.01
6 Feb,3589.69,3290.55,2692.27,2093.99,1495.71
7 Feb,3610.85,3309.95,2708.14,2106.33,1504.52
10 Feb,3603.72,3303.41,2702.79,2102.17,1501.55
11 Feb,3591.83,3292.51,2693.87,2095.23,1496.60
12 Feb,3598.62,3298.73,2698.96,2099.19,1499.42
13 Feb,3615.03,3313.78,2711.27,2108.77,1506.26
14 Feb,3642.39,3338.86,2731.79,2124.73,1517.66
17 Feb,3634.62,3331.73,2725.96,2120.19,1514.42
