Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
1 Jan,2683.98,2460.32,2012.99,1565.66,1118.33
2 Jan,2694.58,2470.03,2020.93,1571.84,1122.74
3 Jan,2673.77,2450.95,2005.33,1559.70,1114.07
4 Jan,2692.46,2468.09,2019.35,1570.60,1121.86
5 Jan,2686.08,2462.24,2014.56,1566.88,1119.20
8 Jan,2689.98,2465.81,2017.48,1569.15,1120.82
9 Jan,2681.42,2457.97,2011.06,1564.16,1117.26
10 Jan,2701.92,2476.76,2026.44,1576.12,1125.80
11 Jan,2708.83,2483.09,2031.62,1580.15,1128.68
12 Jan,2735.81,2507.83,2051.86,1595.89,1139.92
15 Jan,2740.38,2512.02,2055.29,1598.56,1141.83
16 Jan,2759.80,2529.81,2069.85,1609.88,1149.91
17 Jan,2726.80,2499.57,2045.10,1590.63,1136.17
18 Jan,2727.31,2500.03,2045.48,1590.93,1136.38
19 Jan,2733.36,2505.58,2050.02,1594.46,1138.90
22 Jan,2738.63,2510.41,2053.97,1597.53,1141.09
23 Jan,2750.91,2521.67,2063.18,1604.70,1146.21
24 Jan,2772.65,2541.60,2079.49,1617.38,1155.27
25 Jan,2753.04,2523.62,2064.78,1605.94,1147.10
26 Jan,2761.29,2531.18,2070.97,1610.75,1150.54
29 Jan,2745.81,2516.99,2059.36,1601.72,1144.09
30 Jan,2744.92,2516.18,2058.69,1601.20,1143.72
31 Jan,2754.11,2524.60,2065.58,1606.56,1147.55
1 Feb,2770.01,2539.18,2077.51,1615.84,1154.17
2 Feb,2752.08,2522.74,2064.06,1605.38,1146.70
5 Feb,2772.65,2541.60,2079.49,1617.38,1155.27
6 Feb,2731.25,2503.64,2048.44,1593.23,1138.02
7 Feb,2723.36,2496.42,2042.52,1588.63,1134.74
8 Feb,2739.44,2511.16,2054.58,1598.01,1141.43
9 Feb,2718.12,2491.61,2038.59,1585.57,1132.55
12 Feb,2733.80,2505.99,2050.35,1594.72,1139.08
13 Feb,2751.69,2522.38,2063.77,1605.15,1146.54
14 Feb,2787.42,2555.13,2090.56,1625.99,1161.42
15 Feb,2781.76,2549.95,2086.32,1622.69,1159.07
16 Feb,2789.04,2556.62,2091.78,1626.94,1162.10
19 Feb,2790.63,2558.08,2092.98,1627.87,1162.76
20 Feb,2774.04,2542.87,2080.53,1618.19,1155.85
21 Feb,2768.50,2537.79,2076.37,1614.96,1153.54
22 Feb,2779.75,2548.11,2084.82,1621.52,1158.23
23 Feb,2772.80,2541.73,2079.60,1617.47,1155.33
26 Feb,2775.23,2543.96,2081.42,1618.88,1156.34
27 Feb,2750.07,2520.89,2062.55,1604.21,1145.86
28 Feb,2764.23,2533.88,2073.18,1612.47,1151.76
1 Mar,2759.09,2529.16,2069.31,1609.47,1149.62
2 Mar,2772.13,2541.12,2079.10,1617.08,1155.06
5 Mar,2761.31,2531.20,2070.98,1610.76,1150.55
6 Mar,2792.42,2559.72,2094.32,1628.91,1163.51
7 Mar,2763.89,2533.56,2072.91,1612.27,1151.62
8 Mar,2764.84,2534.44,2073.63,1612.82,1152.02
9 Mar,2763.60,2533.30,2072.70,1612.10,1151.50
12 Mar,2767.30,2536.69,2075.47,1614.26,1153.04
13 Mar,2764.97,2534.56,2073.73,1612.90,1152.07
14 Mar,2763.11,2532.85,2072.33,1611.81,1151.30
15 Mar,2751.15,2521.89,2063.36,1604.84,1146.31
16 Mar,2749.04,2519.96,2061.78,1603.61,1145.43
