Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
24 May,2866.35,2627.49,2149.76,1672.04,1194.31
27 May,2873.22,2633.79,2154.92,1676.05,1197.18
28 May,2866.41,2627.55,2149.81,1672.07,1194.34
29 May,2873.46,2634.00,2155.09,1676.18,1197.27
30 May,2892.69,2651.64,2169.52,1687.41,1205.29
31 May,2920.43,2677.06,2190.32,1703.58,1216.84
3 Jun,2947.23,2701.63,2210.43,1719.22,1228.01
4 Jun,2953.76,2707.61,2215.32,1723.03,1230.73
5 Jun,2969.93,2722.44,2227.45,1732.46,1237.47
6 Jun,2964.64,2717.59,2223.48,1729.38,1235.27
7 Jun,2990.77,2741.54,2243.08,1744.62,1246.15
10 Jun,2971.91,2724.25,2228.94,1733.62,1238.30
11 Jun,2961.82,2715.01,2221.37,1727.73,1234.09
12 Jun,2980.65,2732.26,2235.49,1738.71,1241.94
13 Jun,3006.34,2755.81,2254.75,1753.70,1252.64
14 Jun,3014.04,2762.87,2260.53,1758.19,1255.85
17 Jun,3010.20,2759.35,2257.65,1755.95,1254.25
18 Jun,3005.88,2755.39,2254.41,1753.43,1252.45
19 Jun,3039.01,2785.76,2279.26,1772.76,1266.25
20 Jun,3109.35,2850.24,2332.01,1813.79,1295.56
21 Jun,3130.33,2869.47,2347.75,1826.02,1304.30
24 Jun,3174.13,2909.62,2380.60,1851.58,1322.55
25 Jun,3162.59,2899.04,2371.95,1844.85,1317.75
26 Jun,3141.11,2879.35,2355.83,1832.31,1308.79
27 Jun,3132.87,2871.80,2349.65,1827.51,1305.36
28 Jun,3125.17,2864.74,2343.88,1823.01,1302.15
1 Jul,3069.66,2813.86,2302.25,1790.64,1279.03
2 Jul,3170.44,2906.23,2377.83,1849.42,1321.01
3 Jul,3137.73,2876.25,2353.30,1830.34,1307.39
4 Jul,3134.96,2873.71,2351.22,1828.73,1306.23
5 Jul,3079.13,2822.54,2309.35,1796.16,1282.97
8 Jul,3076.95,2820.54,2307.71,1794.89,1282.06
9 Jul,3075.39,2819.11,2306.54,1793.98,1281.41
10 Jul,3126.39,2865.86,2344.79,1823.73,1302.66
11 Jul,3090.77,2833.21,2318.08,1802.95,1287.82
12 Jul,3119.82,2859.84,2339.87,1819.90,1299.93
15 Jul,3119.51,2859.55,2339.63,1819.71,1299.79
16 Jul,3102.78,2844.22,2327.09,1809.96,1292.83
17 Jul,3151.66,2889.02,2363.75,1838.47,1313.19
18 Jul,3194.68,2928.46,2396.01,1863.56,1331.12
