Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
2 Jan,4849.93,4445.76,3637.44,2829.12,2020.80
3 Jan,4897.09,4489.00,3672.82,2856.64,2040.46
4 Jan,4929.33,4518.55,3697.00,2875.44,2053.89
5 Jan,4871.70,4465.73,3653.78,2841.83,2029.88
6 Jan,4938.68,4527.13,3704.01,2880.90,2057.78
9 Jan,4945.03,4532.95,3708.77,2884.60,2060.43
10 Jan,4928.46,4517.76,3696.35,2874.94,2053.53
11 Jan,4925.44,4514.99,3694.08,2873.18,2052.27
12 Jan,4947.32,4535.04,3710.49,2885.94,2061.38
13 Jan,5019.42,4601.13,3764.56,2927.99,2091.42
16 Jan,5029.53,4610.40,3772.15,2933.89,2095.64
17 Jan,5003.19,4586.26,3752.39,2918.53,2084.66
18 Jan,4984.24,4568.88,3738.18,2907.47,2076.77
19 Jan,5007.47,4590.18,3755.61,2921.03,2086.45
20 Jan,5018.57,4600.36,3763.93,2927.50,2091.07
23 Jan,5062.54,4640.66,3796.90,2953.15,2109.39
24 Jan,5082.37,4658.84,3811.78,2964.72,2117.66
25 Jan,5098.39,4673.52,3823.79,2974.06,2124.33
26 Jan,5052.74,4631.68,3789.56,2947.43,2105.31
27 Jan,5051.36,4630.42,3788.52,2946.63,2104.73
30 Jan,5043.76,4623.44,3782.82,2942.19,2101.57
31 Jan,5068.18,4645.84,3801.14,2956.44,2111.74
1 Feb,5123.69,4696.72,3842.77,2988.82,2134.87
2 Feb,5046.77,4626.20,3785.08,2943.95,2102.82
3 Feb,4948.81,4536.41,3711.61,2886.81,2062.00
6 Feb,4968.81,4554.75,3726.61,2898.47,2070.34
7 Feb,4979.44,4564.49,3734.58,2904.68,2074.77
8 Feb,4985.32,4569.88,3738.99,2908.10,2077.22
9 Feb,4940.62,4528.90,3705.46,2882.03,2058.59
10 Feb,4947.81,4535.49,3710.86,2886.22,2061.59
13 Feb,4923.87,4513.55,3692.90,2872.26,2051.61
14 Feb,4941.22,4529.45,3705.92,2882.38,2058.84
15 Feb,4886.73,4479.50,3665.04,2850.59,2036.14
16 Feb,4878.90,4472.32,3659.17,2846.02,2032.87
17 Feb,4906.15,4497.31,3679.61,2861.92,2044.23
20 Feb,4900.07,4491.73,3675.05,2858.37,2041.70
21 Feb,4889.38,4481.93,3667.04,2852.14,2037.24
22 Feb,4863.63,4458.33,3647.72,2837.12,2026.51
23 Feb,4842.70,4439.14,3632.02,2824.91,2017.79
24 Feb,4828.99,4426.57,3621.74,2816.91,2012.08
27 Feb,4829.66,4427.19,3622.25,2817.30,2012.36
28 Feb,4853.29,4448.85,3639.96,2831.08,2022.20
1 Mar,4870.63,4464.75,3652.98,2841.20,2029.43
2 Mar,4865.16,4459.73,3648.87,2838.01,2027.15
3 Mar,4874.25,4468.06,3655.69,2843.31,2030.94
6 Mar,4858.84,4453.94,3644.13,2834.32,2024.52
7 Mar,4786.79,4387.89,3590.09,2792.29,1994.50
8 Mar,4782.28,4383.76,3586.71,2789.66,1992.62
9 Mar,4829.68,4427.21,3622.26,2817.31,2012.37
10 Mar,4923.99,4513.66,3693.00,2872.33,2051.66
13 Mar,5064.13,4642.12,3798.10,2954.07,2110.05
14 Mar,5040.33,4620.30,3780.24,2940.19,2100.14
15 Mar,5108.23,4682.55,3831.17,2979.80,2128.43
16 Mar,5101.28,4676.17,3825.96,2975.75,2125.53
17 Mar,5275.19,4835.59,3956.39,3077.19,2198.00
20 Mar,5252.55,4814.83,3939.41,3063.99,2188.56
21 Mar,5162.36,4732.16,3871.77,3011.38,2150.98
22 Mar,5216.35,4781.66,3912.27,3042.87,2173.48
23 Mar,5263.94,4825.28,3947.96,3070.63,2193.31
24 Mar,5239.03,4802.44,3929.27,3056.10,2182.93
27 Mar,5174.75,4743.52,3881.06,3018.60,2156.14
28 Mar,5214.77,4780.20,3911.08,3041.95,2172.82
29 Mar,5194.69,4761.80,3896.02,3030.24,2164.45
30 Mar,5227.21,4791.60,3920.40,3049.20,2178.00
31 Mar,5203.68,4770.04,3902.76,3035.48,2168.20
3 Apr,5241.26,4804.49,3930.94,3057.40,2183.86
4 Apr,5336.00,4891.33,4002.00,3112.67,2223.33
5 Apr,5320.27,4876.92,3990.21,3103.49,2216.78
6 Apr,5282.39,4842.19,3961.79,3081.39,2201.00
7 Apr,5284.89,4844.48,3963.67,3082.85,2202.04
